date,age,gender,dominant_race,dominant_emotion,region.x,region.y,region.w,region.h,race.asian,race.indian,race.black,race.white,race.middle eastern,race.latino hispanic,emotion.angry,emotion.disgust,emotion.fear,emotion.happy,emotion.sad,emotion.surprise,emotion.neutral
2005Dec.png,30,Woman,white,neutral,328,265,372,372,0.37582761054203573,0.12244132378720186,0.00918816276876481,90.89531248183921,3.9753610775089907,4.621866993419348,0.036302293301559985,8.851554156308339e-06,14.690922200679779,5.384887009859085,5.344578996300697,1.0732769966125488,73.47002625465393
2005Aug.png,27,Woman,white,neutral,383,204,166,166,1.6767909283288418e-08,7.059171996948166e-09,6.880347528694097e-11,99.99877214431763,0.0003829573415714549,0.0008451685971522238,0.689072296117085,6.470061317108447e-07,16.547566148493658,0.006559783314425621,27.404071533922643,0.1744047958980379,55.17832369675182
2005Mar.png,24,Man,white,fear,702,287,137,137,2.6043341184456206,0.12971988962577108,0.001877082608159097,94.29267116872415,1.6914170081714381,1.2799743899733556,0.0024224951630458236,6.418754416870343e-11,99.75261092185974,0.06658242200501263,0.1783837447874248,2.1316136356031024e-08,5.545283343622032e-07
2005Oct.png,29,Woman,white,sad,355,109,230,230,0.27987506629525827,0.00013858102132499733,4.91134526897454e-05,99.5926380643084,0.03364065086375614,0.09365417693021275,2.117139786013352,4.436197096520676e-06,2.8117386437498713,1.6352346008285825e-07,94.08333266278105,7.574203547285837e-05,0.9877093725031241
2005May.png,31,Woman,white,neutral,361,116,203,203,0.006828957789443989,0.0015601399395479003,5.3174893055019844e-05,98.41843824606397,0.6708246058463581,0.9022975484785495,0.01972220169819976,3.667440125914237e-07,0.4212140822389175,0.006926406471328823,1.8260982976018367,0.000333271915989197,97.72570715699834
2005Nov.png,35,Woman,white,happy,316,231,116,116,1.461243995949268,4.515358329734703,2.4784264700666947,57.894036644341746,18.593248343065284,15.057689849000564,2.3409400259114094e-07,2.187645675794681e-12,6.504230431129368e-07,99.79134796806264,7.86373495007659e-05,0.02198767164462338,0.1865881722808285
2005Apr.png,30,Woman,black,happy,427,126,193,193,0.26160385459661484,4.390630125999451,86.07045412063599,2.086404152214527,0.7665444631129503,6.424359977245331,0.00035018443131832667,1.1149148052413231e-07,0.003910184648233806,96.55712883983507,0.004979001957865199,0.6559240315498076,2.7777014714239274
2005Jan.png,35,Woman,white,happy,315,242,196,196,20.260396599769592,8.473023772239685,2.0141026005148888,27.42370367050171,14.530880749225616,27.297896146774292,2.5982990081827233e-05,1.348634252264502e-05,3.614681669402166e-05,99.21516189394451,0.05368947109929072,3.6530567990089725e-06,0.7310596354532677
2005Jul.png,33,Man,latino hispanic,neutral,365,166,188,188,33.54936740096613,10.497371733031972,1.596374532364281,8.164495716362936,6.178120146877775,40.01427531327458,0.11638832511380315,2.7428723181621706e-08,3.516899049282074,0.00026765633265313227,5.659119039773941,0.025050187832675874,90.68227410316467
2000Jan.png,30,Man,white,fear,460,1230,30,30,3.730402208747111e-06,5.887851136140208e-10,1.2197437310805856e-12,99.9993681908407,0.0005645463497819772,6.127499270275089e-05,1.680566929280758,0.001604030876478646,60.78680157661438,0.014624903269577771,23.634548485279083,0.010896773164859042,13.870960474014282
